,0,1,2,3,4,5,6
103,2012-05-24 16:45:24,Be a Gutsy Grad: LinkedIn Tips for the Class of 2012 http:// bit.ly/LvjZ2l cc: @LinkedInU #graduation,27,5,@LinkedInU,#graduation,Reply
104,2012-05-24 14:48:30,"""Think like an entrepreneur, act like an employee."" What's your favorite piece of career advice? http:// bit.ly/LjNX6p (via @fastcompany )",23,7,@fastcompany,,Reply
105,2012-05-24 12:42:49,Do stretch goals help or hurt motivation? Join the 300+ who've chimed into this @HarvardBiz LinkedIn Group discussion. http:// bit.ly/Ludf4E,6,1,@HarvardBiz,,Reply
106,2012-05-23 18:18:05,"What tips do you have for LinkedIn newbies? ""The Beginner’s Guide to LinkedIn"" via @mashable . http:// on.mash.to/LgIGwz",26,25,@mashable,,Reply
107,2012-05-22 19:01:19,Do you keep a to-do list at work? Is it handwritten? Learn more about best practices through our research. http:// blog.linkedin.com/2012/05/22/pro fessional-to-do-list/ … #inToDo,28,28,,#inToDo,Announcement
108,2012-05-22 17:11:19,63% of all professionals frequently create to-do lists according to our study. How about you? http:// blog.linkedin.com/2012/05/22/pro fessional-to-do-list/ … #inToDo,24,9,,#inToDo,Announcement
109,2012-05-22 14:10:20,What percentage of your work to-do list have you completed so far today? http:// blog.linkedin.com/2012/05/22/pro fessional-to-do-list/ … #inToDo,8,2,,#inToDo,Announcement
110,2012-05-22 11:30:19,Our study shows agriculture professionals complete more of their to-do lists done than other professionals. http:// blog.linkedin.com/2012/05/22/pro fessional-to-do-list/ … #inToDo,17,2,,#inToDo,Announcement
111,2012-05-22 09:08:16,What's on your professional to-do list today? http:// blog.linkedin.com/2012/05/22/pro fessional-to-do-list/ … #inToDo,16,6,,#inToDo,Announcement
112,2012-05-21 17:20:35,Too old for a LinkedIn photo? Never! LinkedIn profiles with photos are 7x more likely to be viewed. http:// on.wsj.com/KY4YGB (via @WSJ ),55,4,@WSJ,,Reply
113,2012-05-21 12:42:03,". @Cardmunch featured in @USATODAY 's list of ""Tech tools to kickstart your job hunt"". What's your favorite tool? http:// usat.ly/J8JwdO",2,5,@Cardmunch @USATODAY,,Reply
114,2012-05-17 22:45:48,Thanks for sharing our most recent data post on which startups engineers think are hot today. http:// blog.linkedin.com/2012/05/17/top -10-tech-engineering-startups/ …,22,7,,,Announcement
115,2012-05-17 16:19:32,"Here are #s 3 through 6 on our list of hottest startups in engineers' minds. http:// blog.linkedin.com/2012/05/17/top -10-tech-engineering-startups/ … cc: @square , @jack , @cloudera , @pinterest",12,6,@square @jack @cloudera @pinterest,#s,Reply
116,2012-05-17 15:59:10,"What are the top 3 startups to garner attention from engineers in silicon valley? http:// blog.linkedin.com/2012/05/17/top -10-tech-engineering-startups/ … cc: @arista , @nicira , @boxhq , @levie",10,7,@arista @nicira @boxhq @levie,,Reply
117,2012-05-17 10:56:32,Our team crunched some #s on which startups are most interesting to engineers in the bay area. Here's what we found. http:// blog.linkedin.com/2012/05/17/top -10-tech-engineering-startups/ …,9,3,,#s,Announcement
